name,address,category,website,social_media,website_status,data_status
Avon, ,unknown,Has Website,,https://www.avon.com/,Complete
Edwards Cemetery, ,grave_yard,Has Website,,https://roadsidethoughts.com/co/cemeteries/edwards-cemetery-xx-eagle-profile.htm,Complete
B and B Edwards Pit, ,unknown,No Website,,,Incomplete
Avon Mine, ,unknown,No Website,,,Incomplete
Dusty Boot Steakhouse & Saloon,Offerson Road 210,restaurant,Has Website,,https://www.dustyboot.com/,Complete
Metropolitan,Offerson Road 210,restaurant,No Website,,,Incomplete
Beaver Creek Resort, ,sports_centre,Has Website,,https://www.beavercreek.com/,Complete
AH7734/GPS 008, ,unknown,No Website,,,Incomplete
Subway,East Beaver Creek Boulevard 0047,fast_food,Has Website,,https://restaurants.subway.com/united-states/co/avon/0047-east-beaver-creek-blvd,Complete
Benderz Burgers, ,restaurant,No Website,,,Incomplete
Northside Kitchen, ,restaurant,No Website,,,Incomplete
Vail Brewing Co, ,pub,No Website,,,Incomplete
Bob's Place, ,bar,No Website,,,Incomplete
Buz's Place, ,bench,No Website,,,Incomplete
Pazzo's Pizzeria, ,restaurant,Has Website,,https://www.pazzospizza.com/,Complete
Avon Whitewater Park, ,park,No Website,,,Incomplete
Mountain Vista, ,unknown,No Website,,,Incomplete
TV8 Vail,Benchmark Road 137,studio,Has Website,,https://www.tv8vail.com,Complete
Buck Creek Medical Center,Buck Creek Road 50,hospital,No Website,,,Incomplete
Avon Police Department,Buck Creek Road 60,police,No Website,,,Incomplete
Eagle River Station 7,Buck Creek Road 60,fire_station,No Website,,,Incomplete
Blue Moose Pizza, ,restaurant,No Website,,,Incomplete
Beaver Creek Chophouse, ,restaurant,No Website,,,Incomplete
Loaded Joe's,East Beaver Creek Boulevard 82,restaurant,Has Website,,https://www.loadedjoes.com,Complete
Valley Girl Boutique,Beaver Creek Place 142,clothes,Has Website,,https://rubyjane.com,Complete
P. Furniture & Design II,Beaver Creek Place 142,furniture,Has Website,,https://www.pfurnitureanddesign.com/,Complete
Kiwi International Delights,Beaver Creek Place 142,ice_cream,Has Website,,https://www.kiwiinternationaldelights.com/,Complete
Axis Sports Medicine,Beaver Creek Place 142,unknown,No Website,,,Incomplete
Vail Lights,Beaver Creek Place 142,lighting,Has Website,,http://vaillightsinc.com,Complete
Doctors On Call,Beaver Creek Place 142,doctors,Has Website,,https://doctorsoncallavon.com/,Complete
Looking Good Salon,Beaver Creek Place 142,hairdresser,Has Website,,https://www.vagaro.com/lookinggoodsalon,Complete
Starbucks,Hurd Lane 25,cafe,Has Website,,https://www.starbucks.com/store-locator/store/13339/25-hurd-lane-avon-25-hurd-lane-avon-co-816203597-us,Complete
Copy Copy,Beaver Creek Place 142,copyshop,Has Website,,https://www.copycopy.biz/,Complete
Christy Sports,Avon Road 182,furniture,No Website,,,Incomplete
ANB Bank,Beaver Creek Place 71,bank,No Website,,,Incomplete
Domino's,Beaver Creek Place 51,fast_food,Has Website,,https://pizza.dominos.com/colorado/avon/51-west-beaver-creek-place,Complete
Columbine Bakery,Beaver Creek Place 51,bakery,Has Website,,https://www.columbinecafe.com/,Complete
Comfort Dental, ,dentist,No Website,,,Incomplete
Village Warehouse Wine & Spirits, ,alcohol,No Website,,,Incomplete
Ensignal, ,mobile_phone,No Website,,,Incomplete
Revolution Power Yoga, ,fitness_centre,No Website,,,Incomplete
Pizza One, ,fast_food,No Website,,,Incomplete
Phơ Bay, ,restaurant,No Website,,,Incomplete
T-Mobile, ,mobile_phone,No Website,,,Incomplete
Sauce on the Creek,Fawcett Road 101,restaurant,Has Website,,https://sauceonthecreek.com,Complete
Avon ¶ Elevation 7430 ft, ,unknown,No Website,,,Incomplete
Inyodo, ,dojo,No Website,,,Incomplete
Lake Street Station, ,unknown,No Website,,,Incomplete
Fiesta Jalisco, ,restaurant,No Website,,,Incomplete
Rocky Mountain Taco, ,restaurant,No Website,,,Incomplete
Vail Brewing Company, ,bar,No Website,,,Incomplete
Local Revival,US 6 40780,massage,No Website,,,Incomplete
The Drummer, ,artwork,No Website,,,Incomplete
The Classics, ,artwork,No Website,,,Incomplete
Ticino, ,restaurant,No Website,,,Incomplete
ChargePoint, ,charging_station,No Website,,,Incomplete
Maya Walker Jewels,Beaver Creek Plaza 114,jewelry,Has Website,,https://mayawalkerjewels.com,Complete
Eagle Valley Accounting Services,"East Beaver Creek Blvd, #A201 150",accountant,Has Website,,http://eaglevalleyaccounting.com,Complete
Pho 20,East Beaver Creek Boulevard 47,restaurant,Has Website,,https://pho20avon.com,Complete
Shop & Hop, ,convenience,No Website,,,Incomplete
Shell, ,fuel,No Website,,,Incomplete
Mountain Cafe & Gas, ,fuel,No Website,,,Incomplete
Sky Nails, ,beauty,No Website,,,Incomplete
Fly Fishing Outfitters, ,fishing,No Website,,,Incomplete
Dreams Float & Massage Spa, ,massage,No Website,,,Incomplete
Ein Prosit, ,restaurant,No Website,,,Incomplete
High Gear Cyclery, ,bicycle,No Website,,,Incomplete
Chase, ,bank,Has Website,,https://locator.chase.com/co/avon/82-e-beaver-creek-blvd,Complete
Route 6 Diner, ,restaurant,No Website,,,Incomplete
Gondola Pizza,Chapel Place 240,restaurant,Has Website,,https://www.gondolapizzaavon.com/,Complete
Beaver Creek at Avon, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/09067000,Complete
Eagle River below Wastewater Treatment Plant at Avon, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/09067020,Complete
SpringHill Suites Avon Vail Valley,Swift Gulch Road 1782,hotel,No Website,,,Incomplete
"The Ritz-Carlton, Bachelor Gulch", ,unknown,No Website,,,Incomplete
Centennial Station, ,unknown,No Website,,,Incomplete
Splash Pad, ,unknown,No Website,,,Incomplete
Coyote Cafe, ,restaurant,No Website,,,Incomplete
Spa at Ritz-Carlton Bachelor Gulch, ,beauty,No Website,,,Incomplete
Great Room, ,restaurant,No Website,,,Incomplete
Wyld, ,restaurant,No Website,,,Incomplete
Buffalos, ,restaurant,No Website,,,Incomplete
The Market, ,convenience,No Website,,,Incomplete
Sakaba, ,restaurant,No Website,,,Incomplete
Bachelor Gulch Mountain, ,unknown,No Website,,,Incomplete
Arrowhead Mountain, ,unknown,No Website,,,Incomplete
Bachelor Gulch, ,unknown,No Website,,,Incomplete
Tesla Destination Charger, ,charging_station,No Website,,,Incomplete
Powder 8 Kitchen & Tap, ,fast_food,No Website,,,Incomplete
Vail Mountain Coffee & Tea Co, 15,cafe,Has Website,,https://www.vailcoffee.com/pages/cafe-menu-fuel-your-adventure,Complete
The Ice Cream Parlour, ,ice_cream,Has Website,,https://www.beavercreek.com/explore-the-resort/the-village/dining/the-ranch-ice-cream-parlour.aspx,Complete
Candy Cabin, ,confectionery,Has Website,,https://www.beavercreek.com/the-mountain/about-the-mountain/candy-cabin.aspx,Complete
All Occasions Music,Coyote Circle 87,music,Has Website,,https://alloccasionsmusic.net/,Complete
